gene_name,cell_type,ubiquitousness_index,gene_type,organ,sensitivity_human,specificity_human
FLI1,Endothelial cells,0.036,protein-coding gene,Vasculature,0.144231,0.00129534
TIE1,Endothelial cells,0.025,protein-coding gene,Vasculature,0.413462,0.00194301
APLNR,Endothelial cells,0.015,protein-coding gene,Vasculature,0.201923,0.0103627
NRP2,Endothelial cells,0.04,protein-coding gene,Vasculature,0.336538,0.0252591
ADAMTS1,Endothelial cells,0.053,protein-coding gene,Vasculature,0.115385,0.0540803
RPRM,Endothelial cells,0.039,protein-coding gene,Vasculature,0.0,0.00291451
FABP4,Endothelial cells,0.028,protein-coding gene,Vasculature,0.0961538,0.00744819
GPIHBP1,Endothelial cells,0.017,protein-coding gene,Vasculature,0.134615,0.000323834
FHL2,Endothelial cells,0.043,protein-coding gene,Vasculature,0.173077,0.101684
LOX,Endothelial cells,0.017,protein-coding gene,Vasculature,0.00961538,0.0152202
KLK1,Endothelial cells,0.013,protein-coding gene,Vasculature,0.0,0.00841969
ADORA2A,Endothelial cells,0.01,protein-coding gene,Vasculature,0.0,0.0
ARAP3,Endothelial cells,0.009,protein-coding gene,Vasculature,0.0,0.0
ARHGEF15,Endothelial cells,0.01,protein-coding gene,Vasculature,0.0384615,0.0
CARD10,Endothelial cells,0.002,protein-coding gene,Vasculature,0.0192308,0.000323834
CLEC14A,Endothelial cells,0.024,protein-coding gene,Vasculature,0.769231,0.00420984
DLL4,Endothelial cells,0.007,protein-coding gene,Vasculature,0.0769231,0.000323834
ESM1,Endothelial cells,0.006,protein-coding gene,Vasculature,0.269231,0.00356218
GIMAP5,Endothelial cells,0.016,protein-coding gene,Vasculature,0.0,0.0
GJA4,Endothelial cells,0.02,protein-coding gene,Vasculature,0.115385,0.0100389
MMRN2,Endothelial cells,0.022,protein-coding gene,Vasculature,0.259615,0.0
NOTCH4,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0384615,0.00226684
NPR1,Endothelial cells,0.009,protein-coding gene,Vasculature,0.00961538,0.00161917
PRKCH,Endothelial cells,0.012,protein-coding gene,Vasculature,0.105769,0.0200777
RASGRP3,Endothelial cells,0.025,protein-coding gene,Vasculature,0.0769231,0.00712435
ROBO4,Endothelial cells,0.013,protein-coding gene,Vasculature,0.125,0.000323834
SCARF1,Endothelial cells,0.004,protein-coding gene,Vasculature,0.0673077,0.000323834
SOX18,Endothelial cells,0.012,protein-coding gene,Vasculature,0.365385,0.00809585
SOX7,Endothelial cells,0.011,protein-coding gene,Vasculature,0.0961538,0.00323834
SPNS2,Endothelial cells,0.002,protein-coding gene,Vasculature,0.0,0.0
THSD1,Endothelial cells,0.008,protein-coding gene,Vasculature,0.0576923,0.00323834
APOLD1,Endothelial cells,0.03,protein-coding gene,Vasculature,0.0769231,0.00323834
EMP1,Endothelial cells,0.076,protein-coding gene,Vasculature,0.75,0.0913212
CD36,Endothelial cells,0.042,protein-coding gene,Vasculature,0.115385,0.0317358
RNASE1,Endothelial cells,0.022,protein-coding gene,Vasculature,0.807692,0.0660622
CTGF,Endothelial cells,0.028,protein-coding gene,Vasculature,0.644231,0.0812824
HYAL2,Endothelial cells,0.031,protein-coding gene,Vasculature,0.567308,0.0540803
CLEC4G,Endothelial cells,0.001,protein-coding gene,Vasculature,0.00961538,0.0
GPR182,Endothelial cells,0.005,protein-coding gene,Vasculature,0.0,0.00356218
F8,Endothelial cells,0.003,protein-coding gene,Vasculature,0.182692,0.0
RBP7,Endothelial cells,0.009,protein-coding gene,Vasculature,0.326923,0.0119819
CALCRL,Endothelial cells,0.017,protein-coding gene,Vasculature,0.605769,0.00518135
FOXF1,Endothelial cells,0.008,protein-coding gene,Vasculature,0.0288462,0.00777202
CASZ1,Endothelial cells,0.016,protein-coding gene,Vasculature,0.0,0.0
AQP7,Endothelial cells,0.005,protein-coding gene,Vasculature,0.0,0.00939119
TCF15,Endothelial cells,0.006,protein-coding gene,Vasculature,0.00961538,0.000323834
CD300LG,Endothelial cells,0.008,protein-coding gene,Vasculature,0.0384615,0.0
BTNL9,Endothelial cells,0.004,protein-coding gene,Vasculature,0.115385,0.0
MEOX2,Endothelial cells,0.004,protein-coding gene,Vasculature,0.0384615,0.00420984
ERG,Endothelial cells,0.01,protein-coding gene,Vasculature,0.240385,0.000323834
HEXIM1,Endothelial cells,0.019,protein-coding gene,Vasculature,0.0480769,0.0297927
GLYCAM1,Endothelial cells,0.004,pseudogene,Vasculature,0.0,0.0
CD55,Endothelial cells,0.037,protein-coding gene,Vasculature,0.326923,0.119171
MMRN1,Endothelial cells,0.005,protein-coding gene,Vasculature,0.134615,0.00485751
C7,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0384615,0.0145725
RAMP3,Endothelial cells,0.014,protein-coding gene,Vasculature,0.423077,0.000971503
VEGFC,Endothelial cells,0.005,protein-coding gene,Vasculature,0.0,0.0142487
GJA5,Endothelial cells,0.002,protein-coding gene,Vasculature,0.00961538,0.00129534
HEY1,Endothelial cells,0.01,protein-coding gene,Vasculature,0.201923,0.0113342
RND1,Endothelial cells,0.007,protein-coding gene,Vasculature,0.105769,0.00161917
BDP1,Endothelial cells,0.037,protein-coding gene,Vasculature,0.0288462,0.102332
CD46,Endothelial cells,0.014,protein-coding gene,Vasculature,0.134615,0.0767487
MEOX1,Endothelial cells,0.005,protein-coding gene,Vasculature,0.0480769,0.000647668
CCL19,Endothelial cells,0.002,protein-coding gene,Vasculature,0.0,0.00161917
MADCAM1,Endothelial cells,0.001,protein-coding gene,Vasculature,0.0673077,0.0
CYP1B1,Endothelial cells,0.016,protein-coding gene,Vasculature,0.0673077,0.0485751
IRX3,Endothelial cells,0.015,protein-coding gene,Vasculature,0.00961538,0.0110104
BIRC2,Endothelial cells,0.015,protein-coding gene,Vasculature,0.0,0.0359456
LYVE1,Endothelial cells,0.012,protein-coding gene,Vasculature,0.0384615,0.00420984
SEMA3D,Endothelial cells,0.005,protein-coding gene,Vasculature,0.00961538,0.000971503
EMCN,Endothelial cells,0.043,protein-coding gene,Vasculature,0.653846,0.0100389
WFDC1,Endothelial cells,0.024,protein-coding gene,Vasculature,0.0,0.0152202
ADGRL4,Endothelial cells,0.042,protein-coding gene,Vasculature,0.778846,0.0126295
VWA1,Endothelial cells,0.034,protein-coding gene,Vasculature,0.269231,0.0145725
ECE1,Endothelial cells,0.062,protein-coding gene,Vasculature,0.259615,0.0197539
PTPRB,Endothelial cells,0.041,protein-coding gene,Vasculature,0.336538,0.000647668
CLDN5,Endothelial cells,0.054,protein-coding gene,Vasculature,0.971154,0.0210492
TBX1,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0,0.000971503
SEMA7A,Endothelial cells,0.006,protein-coding gene,Vasculature,0.0,0.000323834
FOXF2,Endothelial cells,0.016,protein-coding gene,Vasculature,0.0192308,0.000647668
PDGFB,Endothelial cells,0.01,protein-coding gene,Vasculature,0.0480769,0.0
ECSCR,Endothelial cells,0.047,protein-coding gene,Vasculature,0.855769,0.00906736
ELK3,Endothelial cells,0.034,protein-coding gene,Vasculature,0.269231,0.0148964
CDH5,Endothelial cells,0.043,protein-coding gene,Vasculature,0.644231,0.00453368
PLEC,Endothelial cells,0.056,protein-coding gene,Vasculature,0.00961538,0.0310881
STAB1,Endothelial cells,0.018,protein-coding gene,Vasculature,0.0288462,0.00161917
TGFBR2,Endothelial cells,0.044,protein-coding gene,Vasculature,0.528846,0.0229922
CD93,Endothelial cells,0.044,protein-coding gene,Vasculature,0.471154,0.00388601
CXCL1,Endothelial cells,0.032,protein-coding gene,Vasculature,0.0288462,0.0463083
RGS5,Endothelial cells,0.043,protein-coding gene,Vasculature,,
SLC7A5,Endothelial cells,0.043,protein-coding gene,Vasculature,0.0673077,0.0297927
ENG,Endothelial cells,0.058,protein-coding gene,Vasculature,0.846154,0.0395078
KDR,Endothelial cells,0.041,protein-coding gene,Vasculature,0.25,0.0110104
SLC2A1,Endothelial cells,0.062,protein-coding gene,Vasculature,0.0576923,0.0563472
EGFL7,Endothelial cells,0.092,protein-coding gene,Vasculature,0.913462,0.0880829
FLT1,Endothelial cells,0.051,protein-coding gene,Vasculature,0.615385,0.0262306
EPAS1,Endothelial cells,0.076,protein-coding gene,Vasculature,0.576923,0.0391839
EDNRB,Endothelial cells,0.057,protein-coding gene,Vasculature,0.0480769,0.0204016
KCNJ8,Endothelial cells,0.017,protein-coding gene,Vasculature,0.0,0.00194301
CD82,Endothelial cells,0.097,protein-coding gene,Vasculature,0.0480769,0.0637953
CHST1,Endothelial cells,0.032,protein-coding gene,Vasculature,0.00961538,0.0132772
PLAC8,Endothelial cells,0.14,protein-coding gene,Vasculature,0.0288462,0.169041
TSPAN8,Endothelial cells,0.047,protein-coding gene,Vasculature,0.0,0.0495466
ETS1,Endothelial cells,0.095,protein-coding gene,Vasculature,0.259615,0.0314119
CD34,Endothelial cells,0.071,protein-coding gene,Vasculature,0.538462,0.0236399
PDPN,Endothelial cells,0.062,protein-coding gene,Vasculature,0.0288462,0.0233161
PROX1,Endothelial cells,0.028,protein-coding gene,Vasculature,0.0384615,0.0100389
EHD3,Endothelial cells,0.017,protein-coding gene,Vasculature,0.0,0.0
SRGN,Endothelial cells,0.236,protein-coding gene,Vasculature,0.798077,0.314767
S100A10,Endothelial cells,0.374,protein-coding gene,Vasculature,0.971154,0.516839
CLIC4,Endothelial cells,0.152,protein-coding gene,Vasculature,0.451923,0.0634715
USHBP1,Endothelial cells,0.001,protein-coding gene,Vasculature,0.0,0.0
MYF6,Endothelial cells,0.0,protein-coding gene,Vasculature,0.0,0.000323834
OIT3,Endothelial cells,0.0,protein-coding gene,Vasculature,0.00961538,0.0
IL1A,Endothelial cells,0.006,protein-coding gene,Vasculature,0.0,0.00582902
BMP2,Endothelial cells,0.008,protein-coding gene,Vasculature,0.0,0.00874352
C1QTNF1,Endothelial cells,0.002,protein-coding gene,Vasculature,0.0,0.00388601
PCDH12,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0576923,0.0
DPP4,Endothelial cells,0.02,protein-coding gene,Vasculature,0.0,0.013601
IGFBP7,Endothelial cells,0.172,protein-coding gene,Vasculature,0.913462,0.216321
PALMD,Endothelial cells,0.026,protein-coding gene,Vasculature,0.461538,0.0123057
POSTN,Endothelial cells,0.033,protein-coding gene,Vasculature,0.0384615,0.0226684
BMX,Endothelial cells,0.003,protein-coding gene,Vasculature,0.125,0.00194301
SLC38A5,Endothelial cells,0.02,protein-coding gene,Vasculature,0.0384615,0.0223446
XDH,Endothelial cells,0.011,protein-coding gene,Vasculature,0.0,0.00518135
SPARC,Endothelial cells,0.307,protein-coding gene,Vasculature,0.884615,0.208873
MGLL,Endothelial cells,0.064,protein-coding gene,Vasculature,0.307692,0.0563472
SLC9A3R2,Endothelial cells,0.078,protein-coding gene,Vasculature,0.740385,0.0569948
RGCC,Endothelial cells,0.14,protein-coding gene,Vasculature,0.423077,0.118523
ICAM2,Endothelial cells,0.035,protein-coding gene,Vasculature,0.0,0.0
MGP,Endothelial cells,0.082,protein-coding gene,Vasculature,0.596154,0.100389
SPARCL1,Endothelial cells,0.156,protein-coding gene,Vasculature,0.557692,0.0867876
TM4SF1,Endothelial cells,0.118,protein-coding gene,Vasculature,0.961538,0.150259
ID1,Endothelial cells,0.149,protein-coding gene,Vasculature,0.769231,0.190738
ADIRF,Endothelial cells,0.0,protein-coding gene,Vasculature,,
CD9,Endothelial cells,0.344,protein-coding gene,Vasculature,0.634615,0.258744
SRPX,Endothelial cells,0.014,protein-coding gene,Vasculature,0.221154,0.0139249
ID3,Endothelial cells,0.245,protein-coding gene,Vasculature,0.923077,0.206282
CAV1,Endothelial cells,0.077,protein-coding gene,Vasculature,0.807692,0.0981218
GNG11,Endothelial cells,0.138,protein-coding gene,Vasculature,1.0,0.0867876
HSPG2,Endothelial cells,0.042,protein-coding gene,Vasculature,0.00961538,0.0
CCL14,Endothelial cells,0.0,protein-coding gene,Vasculature,0.0,0.0
CLEC1B,Endothelial cells,0.003,protein-coding gene,Vasculature,0.00961538,0.000647668
FCN2,Endothelial cells,0.0,protein-coding gene,Vasculature,0.0192308,0.000323834
S100A13,Endothelial cells,0.229,protein-coding gene,Vasculature,0.730769,0.146049
FCN3,Endothelial cells,0.001,protein-coding gene,Vasculature,0.0961538,0.00129534
CRHBP,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0865385,0.00388601
IFI27,Endothelial cells,0.15,protein-coding gene,Vasculature,0.740385,0.0835492
CCL23,Endothelial cells,0.0,protein-coding gene,Vasculature,0.00961538,0.000647668
SGK1,Endothelial cells,0.096,protein-coding gene,Vasculature,0.211538,0.0440415
DNASE1L3,Endothelial cells,0.015,protein-coding gene,Vasculature,0.0384615,0.00906736
LIFR,Endothelial cells,0.042,protein-coding gene,Vasculature,0.346154,0.0113342
PCAT19,Endothelial cells,0.005,non-coding RNA,Vasculature,0.75,0.00809585
CDKN1C,Endothelial cells,0.097,protein-coding gene,Vasculature,0.0,0.0485751
INMT,Endothelial cells,0.016,protein-coding gene,Vasculature,0.0384615,0.00874352
PTGDS,Endothelial cells,0.054,protein-coding gene,Vasculature,0.0769231,0.0576425
TIMP3,Endothelial cells,0.147,protein-coding gene,Vasculature,0.759615,0.140868
GPM6A,Endothelial cells,0.241,protein-coding gene,Vasculature,0.00961538,0.0239637
FAM167B,Endothelial cells,0.008,protein-coding gene,Vasculature,0.240385,0.000971503
LTC4S,Endothelial cells,0.037,protein-coding gene,Vasculature,0.0961538,0.00485751
STAB2,Endothelial cells,0.003,protein-coding gene,Vasculature,0.0,0.0
C3AR1,Eosinophils,0.022,protein-coding gene,Immune system,0.0,0.00626566
FUT4,Eosinophils,0.001,protein-coding gene,Immune system,0.0,0.0
FCER2,Eosinophils,0.002,protein-coding gene,Immune system,0.0,0.00219298
C5AR1,Eosinophils,0.027,protein-coding gene,Immune system,0.0,0.0140977
CXCR3,Eosinophils,0.005,protein-coding gene,Immune system,0.0,0.00532581
CCR1,Eosinophils,0.014,protein-coding gene,Immune system,0.0,0.00532581
CCR3,Eosinophils,0.001,protein-coding gene,Immune system,0.0,0.0
CD244,Eosinophils,0.002,protein-coding gene,Immune system,0.0,0.0
PTGDR2,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.0
S100A9,Eosinophils,0.061,protein-coding gene,Immune system,0.0,0.103383
SIGLEC8,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.0
SIGLEC10,Eosinophils,0.001,protein-coding gene,Immune system,0.0,0.00407268
PGLYRP1,Eosinophils,0.062,protein-coding gene,Immune system,0.0,0.0
LTC4S,Eosinophils,0.037,protein-coding gene,Immune system,0.0,0.00783208
EPX,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.0
CD69,Eosinophils,0.024,protein-coding gene,Immune system,0.0,0.111216
RNASE3,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.000313283
RNASE2,Eosinophils,0.001,protein-coding gene,Immune system,0.0,0.00720551
IL5,Eosinophils,0.002,protein-coding gene,Immune system,0.0,0.00626566
PRG2,Eosinophils,0.003,protein-coding gene,Immune system,0.0,0.00313283
PRG3,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.0
CPA3,Eosinophils,0.009,protein-coding gene,Immune system,0.0,0.00845865
IKZF2,Eosinophils,0.011,protein-coding gene,Immune system,0.0,0.000626566
CCL11,Eosinophils,0.008,protein-coding gene,Immune system,0.0,0.00313283
CCL5,Eosinophils,0.042,protein-coding gene,Immune system,0.0,0.0858396
CSF2,Eosinophils,0.002,protein-coding gene,Immune system,0.0,0.0093985
IL5RA,Eosinophils,0.0,protein-coding gene,Immune system,0.0,0.0
CGA,Erythroblasts,0.003,protein-coding gene,Blood,0.0,0.00845865
TFRC,Erythroblasts,0.042,protein-coding gene,Blood,0.0,0.0614035
CDH1,Erythroblasts,0.056,protein-coding gene,Blood,0.0,0.0416667
WRN,Erythroblasts,0.004,protein-coding gene,Blood,0.0,0.00595238
CD44,Erythroblasts,0.127,protein-coding gene,Blood,0.0,0.300439
KLF1,Erythroblasts,0.009,protein-coding gene,Blood,0.0,0.0253759
BCL11A,Erythroblasts,0.134,protein-coding gene,Blood,0.0,0.113409
BPGM,Erythroblasts,0.063,protein-coding gene,Blood,0.0,0.0460526
ETS1,Erythroblasts,0.095,protein-coding gene,Blood,0.0,0.0388471
EPOR,Erythroblasts,0.004,protein-coding gene,Blood,0.0,0.0147243
IGBP1,Erythroblasts,0.089,protein-coding gene,Blood,0.0,0.128759
TFR2,Erythroblasts,0.003,protein-coding gene,Blood,0.0,0.00783208
GYPA,Erythroblasts,0.011,protein-coding gene,Blood,0.0,0.0272556
LMNB1,Erythroblasts,0.138,protein-coding gene,Blood,0.0,0.037594
LRP8,Erythroblasts,0.029,protein-coding gene,Blood,0.0,0.00125313
GRSF1,Erythroblasts,0.056,protein-coding gene,Blood,0.0,0.106516
USE1,Erythroblasts,0.015,protein-coding gene,Blood,0.0,0.0
ITGB1,Erythroblasts,0.276,protein-coding gene,Blood,0.0,0.168546
CFP,Erythroblasts,0.035,protein-coding gene,Blood,0.0,0.035401
ENG,Erythroblasts,0.058,protein-coding gene,Blood,0.0,0.0657895
KIT,Erythroblasts,0.015,protein-coding gene,Blood,0.0,0.00250627
LMO2,Erythroblasts,0.072,protein-coding gene,Blood,0.0,0.018797
GATA1,Erythroblasts,0.008,protein-coding gene,Blood,0.0,0.0178571
TAL1,Erythroblasts,0.004,protein-coding gene,Blood,0.0,0.00657895
KMT5A,Erythroblasts,0.002,protein-coding gene,Blood,0.0,0.0103383
PIEZO1,Erythroblasts,0.01,protein-coding gene,Blood,0.0,0.0162907
IL1R1,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.234234,0.0113599
FAP,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.0720721,0.0
FLI1,Fibroblasts,0.036,protein-coding gene,Connective tissue,0.0,0.00616683
CELA1,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.0,0.0
LOX,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.234234,0.00714054
PDGFRB,Fibroblasts,0.033,protein-coding gene,Connective tissue,0.198198,0.0305096
P4HA1,Fibroblasts,0.04,protein-coding gene,Connective tissue,0.0990991,0.0275884
UCP2,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.0,0.00519312
CCR2,Fibroblasts,0.022,protein-coding gene,Connective tissue,0.0,0.0
ITGAL,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.0,0.00421941
FGR,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.0,0.0227199
HCK,Fibroblasts,0.031,protein-coding gene,Connective tissue,0.0,0.0236936
TNFRSF1B,Fibroblasts,0.02,protein-coding gene,Connective tissue,0.0,0.0295359
PRKCD,Fibroblasts,0.042,protein-coding gene,Connective tissue,0.0,0.00811425
ENO3,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.0,0.00032457
ABI3,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.0,0.027913
TREML4,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.0
PIP4K2A,Fibroblasts,0.038,protein-coding gene,Connective tissue,0.0,0.0834145
CD300E,Fibroblasts,0.001,protein-coding gene,Connective tissue,0.0,0.00227199
SERPINB10,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.0,0.00032457
CTHRC1,Fibroblasts,0.031,protein-coding gene,Connective tissue,0.0900901,0.0298604
TBX18,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.0,0.00032457
COL15A1,Fibroblasts,0.016,protein-coding gene,Connective tissue,0.144144,0.0240182
GJB2,Fibroblasts,0.009,protein-coding gene,Connective tissue,0.0720721,0.0097371
IL34,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.018018,0.00097371
EDN3,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.00259656
SLC6A13,Fibroblasts,0.005,protein-coding gene,Connective tissue,0.0,0.00032457
VTN,Fibroblasts,0.029,protein-coding gene,Connective tissue,0.036036,0.00876339
ITIH5,Fibroblasts,0.036,protein-coding gene,Connective tissue,0.045045,0.00681597
LUM,Fibroblasts,0.051,protein-coding gene,Connective tissue,0.873874,0.0587472
DPT,Fibroblasts,0.021,protein-coding gene,Connective tissue,0.0630631,0.00389484
POSTN,Fibroblasts,0.033,protein-coding gene,Connective tissue,0.171171,0.0178513
PENK,Fibroblasts,0.02,protein-coding gene,Connective tissue,0.00900901,0.0282376
MMP14,Fibroblasts,0.054,protein-coding gene,Connective tissue,0.306306,0.025641
COL6A2,Fibroblasts,0.056,protein-coding gene,Connective tissue,0.792793,0.0785459
FABP4,Fibroblasts,0.028,protein-coding gene,Connective tissue,0.018018,0.0100617
ASPN,Fibroblasts,0.019,protein-coding gene,Connective tissue,0.162162,0.00162285
ANGPTL2,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.0900901,0.00292113
EFEMP1,Fibroblasts,0.021,protein-coding gene,Connective tissue,0.342342,0.0311587
SCARA5,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.297297,0.00129828
IGFBP3,Fibroblasts,0.031,protein-coding gene,Connective tissue,0.396396,0.0470626
COPZ2,Fibroblasts,0.038,protein-coding gene,Connective tissue,0.234234,0.0129828
DPEP1,Fibroblasts,0.023,protein-coding gene,Connective tissue,0.018018,0.0116845
ADAMTS5,Fibroblasts,0.016,protein-coding gene,Connective tissue,0.279279,0.00486855
COL5A1,Fibroblasts,0.028,protein-coding gene,Connective tissue,0.369369,0.0236936
CD248,Fibroblasts,0.022,protein-coding gene,Connective tissue,0.288288,0.00454398
PI16,Fibroblasts,0.011,protein-coding gene,Connective tissue,0.045045,0.00064914
PAMR1,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.153153,0.00194742
TNXB,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.0,0.00259656
MMP2,Fibroblasts,0.045,protein-coding gene,Connective tissue,0.666667,0.0460889
COL14A1,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.333333,0.00811425
CLEC3B,Fibroblasts,0.021,protein-coding gene,Connective tissue,0.0,0.0
IGFBP6,Fibroblasts,0.039,protein-coding gene,Connective tissue,0.684685,0.0623174
COL5A2,Fibroblasts,0.044,protein-coding gene,Connective tissue,0.333333,0.0243427
FBN1,Fibroblasts,0.028,protein-coding gene,Connective tissue,0.459459,0.0126582
MFAP5,Fibroblasts,0.021,protein-coding gene,Connective tissue,0.162162,0.00519312
FKBP10,Fibroblasts,0.041,protein-coding gene,Connective tissue,0.378378,0.0545278
PALLD,Fibroblasts,0.053,protein-coding gene,Connective tissue,0.423423,0.090555
WIF1,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.0,0.0032457
SNHG18,Fibroblasts,0.046,non-coding RNA,Connective tissue,0.126126,0.0103862
CDH11,Fibroblasts,0.039,protein-coding gene,Connective tissue,0.540541,0.0340798
PTCH1,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.0540541,0.0178513
ARAP1,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.0,0.00032457
FBLN2,Fibroblasts,0.025,protein-coding gene,Connective tissue,0.288288,0.0100617
IGF1,Fibroblasts,0.044,protein-coding gene,Connective tissue,0.036036,0.00162285
PRRX1,Fibroblasts,0.033,protein-coding gene,Connective tissue,0.27027,0.0266147
FKBP7,Fibroblasts,0.031,protein-coding gene,Connective tissue,0.117117,0.0149302
OAF,Fibroblasts,0.036,protein-coding gene,Connective tissue,0.0810811,0.0266147
COL6A3,Fibroblasts,0.032,protein-coding gene,Connective tissue,0.567568,0.0259656
CTSK,Fibroblasts,0.027,protein-coding gene,Connective tissue,0.288288,0.00778968
DKK1,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.306306,0.0146056
C1S,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.792793,0.0516066
RARRES2,Fibroblasts,0.03,protein-coding gene,Connective tissue,0.54955,0.0616683
GREM1,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.0540541,0.0366764
SPON2,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.558559,0.0305096
TCF21,Fibroblasts,0.014,protein-coding gene,Connective tissue,0.0,0.00616683
PCSK6,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.0,0.0
COL8A1,Fibroblasts,0.011,protein-coding gene,Connective tissue,0.036036,0.00486855
ENTPD2,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.0,0.00097371
CXCL8,Fibroblasts,0.02,protein-coding gene,Connective tissue,0.153153,0.117494
CXCL3,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.045045,0.030185
IL6,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.135135,0.00908796
CYP1B1,Fibroblasts,0.016,protein-coding gene,Connective tissue,0.216216,0.0431678
COL13A1,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.0,0.00292113
ADAMTS10,Fibroblasts,0.002,protein-coding gene,Connective tissue,0.0,0.0
CCL11,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.0720721,0.00064914
ADAM33,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.0
COL4A3,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.00900901,0.00032457
COL4A4,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.036036,0.00129828
LAMA2,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.279279,0.00259656
ACKR3,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.0720721,0.00421941
CD55,Fibroblasts,0.037,protein-coding gene,Connective tissue,0.279279,0.120415
FBLN7,Fibroblasts,0.002,protein-coding gene,Connective tissue,0.00900901,0.00194742
FIBIN,Fibroblasts,0.009,protein-coding gene,Connective tissue,0.0810811,0.00551769
THBS2,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.027027,0.00227199
NOV,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.117117,0.00064914
PTX3,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.036036,0.0123337
MMP3,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.00900901,0.00194742
LRRK1,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.00900901,0.00129828
HGF,Fibroblasts,0.002,protein-coding gene,Connective tissue,0.0900901,0.00454398
FRZB,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.198198,0.0243427
COL12A1,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.036036,0.00454398
COL7A1,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.00900901,0.00129828
MEOX1,Fibroblasts,0.005,protein-coding gene,Connective tissue,0.0,0.00227199
PRG4,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.0,0.00162285
PKD2,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.126126,0.0064914
CCL19,Fibroblasts,0.002,protein-coding gene,Connective tissue,0.027027,0.00064914
NNMT,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.495495,0.0447907
FOXF1,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.162162,0.00292113
HAS1,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.018018,0.00097371
CTGF,Fibroblasts,0.028,protein-coding gene,Connective tissue,0.576577,0.0824408
ERCC1,Fibroblasts,0.033,protein-coding gene,Connective tissue,0.153153,0.092827
WISP1,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.0,0.0
TWIST2,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.162162,0.00129828
RIPK3,Fibroblasts,0.01,protein-coding gene,Connective tissue,0.0,0.0
DDR2,Fibroblasts,0.018,protein-coding gene,Connective tissue,0.144144,0.00811425
ELN,Fibroblasts,0.026,protein-coding gene,Connective tissue,0.18018,0.00421941
FN1,Fibroblasts,0.091,protein-coding gene,Connective tissue,0.468468,0.086011
